snr_db,error_count,error_rate,error_rate_percent,sample_count
-6.0,863,0.3922727272727273,39.22727272727273,2200
-4.0,509,0.23136363636363635,23.136363636363637,2200
-2.0,365,0.16590909090909092,16.590909090909093,2200
0.0,229,0.1040909090909091,10.40909090909091,2200
2.0,164,0.07454545454545454,7.454545454545454,2200
4.0,161,0.07318181818181818,7.318181818181818,2200
6.0,141,0.06409090909090909,6.409090909090908,2200
8.0,149,0.06772727272727273,6.772727272727273,2200
10.0,149,0.06772727272727273,6.772727272727273,2200
12.0,126,0.057272727272727274,5.7272727272727275,2200
14.0,135,0.06136363636363636,6.136363636363637,2200
16.0,147,0.06681818181818182,6.681818181818182,2200
18.0,134,0.060909090909090906,6.090909090909091,2200
