class,class_index,snr_db,full,causal,local
8PSK,0,-6.0,0.32974469661712646,0.3338444232940674,0.3364110589027405
8PSK,0,-4.0,0.33310526609420776,0.33150672912597656,0.3353879153728485
8PSK,0,-2.0,0.3374377191066742,0.3325311541557312,0.33003130555152893
8PSK,0,0.0,0.34412211179733276,0.3352258801460266,0.32065191864967346
8PSK,0,2.0,0.34820860624313354,0.33782586455345154,0.313965767621994
8PSK,0,4.0,0.35104620456695557,0.33787792921066284,0.311075896024704
8PSK,0,6.0,0.3489859402179718,0.3385882079601288,0.31242579221725464
8PSK,0,8.0,0.34724143147468567,0.3387341797351837,0.31402426958084106
8PSK,0,10.0,0.3464798331260681,0.3386021554470062,0.3149178922176361
8PSK,0,12.0,0.34674981236457825,0.3384762108325958,0.3147740066051483
8PSK,0,14.0,0.34864121675491333,0.33781102299690247,0.3135477900505066
8PSK,0,16.0,0.3471585214138031,0.3381246328353882,0.31471672654151917
8PSK,0,18.0,0.34791988134384155,0.338041752576828,0.31403809785842896
AM-DSB,1,-6.0,0.3404950201511383,0.3236221373081207,0.3358827531337738
AM-DSB,1,-4.0,0.33420440554618835,0.32456767559051514,0.3412279486656189
AM-DSB,1,-2.0,0.3343782424926758,0.3247166574001312,0.340905100107193
AM-DSB,1,0.0,0.33736133575439453,0.3244458734989166,0.33819282054901123
AM-DSB,1,2.0,0.33566370606422424,0.32519814372062683,0.3391381800174713
AM-DSB,1,4.0,0.3346540033817291,0.3259080946445465,0.3394380807876587
AM-DSB,1,6.0,0.33285704255104065,0.32642823457717896,0.3407144546508789
AM-DSB,1,8.0,0.3331868648529053,0.3268578052520752,0.3399553596973419
AM-DSB,1,10.0,0.3332338333129883,0.3272259831428528,0.3395402431488037
AM-DSB,1,12.0,0.33421650528907776,0.3273569345474243,0.3384261429309845
AM-DSB,1,14.0,0.3355666995048523,0.3274727761745453,0.33696067333221436
AM-DSB,1,16.0,0.3365147113800049,0.3274996876716614,0.33598604798316956
AM-DSB,1,18.0,0.33730751276016235,0.327487975358963,0.33520495891571045
AM-SSB,2,-6.0,0.3372245132923126,0.3357807993888855,0.3269946575164795
AM-SSB,2,-4.0,0.3373999297618866,0.33579421043395996,0.32680583000183105
