epoch,val_accuracy,val_macro_f1,val_ece,selection_score
44,88.34265734265733,0.8779572270263762,0.0119307270020871,88.23327041465339
45,88.37412587412588,0.878308156533744,0.0117680938448105,88.26546382997559
46,88.34615384615384,0.8780454603711143,0.0124424716887565,88.23783228434536
47,88.33216783216783,0.8778753700139983,0.0124334726560782,88.22324166601422
48,88.34965034965036,0.878098788456303,0.0124187025417397,88.24169604884635
49,88.34965034965036,0.8781212553120085,0.0127633785732559,88.24214538596046
50,88.36013986013987,0.8782543255416653,0.0129267657376252,88.2531983989452
53,88.33566433566433,0.8780783089925858,0.0130671075736726,88.23009764838318
54,88.33566433566433,0.8781209466292779,0.0133265675338623,88.23095040111703
55,88.35664335664336,0.8783304501213526,0.0134226611939135,88.25192368774175
