bin_left,bin_right,mean_confidence,empirical_accuracy,count
0.2,0.26666666666666666,0.24288153648376465,0.1111111111111111,9
0.26666666666666666,0.3333333333333333,0.304501473903656,0.3333333333333333,51
0.3333333333333333,0.4,0.36876821517944336,0.25874125874125875,143
0.4,0.4666666666666667,0.4338783323764801,0.3247422680412371,194
0.4666666666666667,0.5333333333333333,0.5082089304924011,0.45709281961471104,571
0.5333333333333333,0.6,0.5711584091186523,0.5194195475885617,2343
0.6,0.6666666666666666,0.6310132741928101,0.6206666666666667,1500
0.6666666666666666,0.7333333333333333,0.6974919438362122,0.6995359628770301,862
0.7333333333333333,0.8,0.7650421261787415,0.7429643527204502,533
0.8,0.8666666666666667,0.835249662399292,0.7773722627737226,548
0.8666666666666667,0.9333333333333333,0.9076092839241028,0.8580931263858093,1353
0.9333333333333333,1.0,0.986522376537323,0.9864343922314937,20493
