snr_db,accuracy,accuracy_percent,macro_f1,macro_f1_percent,sample_count
-6.0,0.6077272727272728,60.77272727272728,0.595867131879637,59.5867131879637,2200
-4.0,0.7686363636363637,76.86363636363637,0.7583191166698048,75.83191166698047,2200
-2.0,0.8340909090909091,83.4090909090909,0.8266836037308368,82.66836037308369,2200
0.0,0.8959090909090909,89.5909090909091,0.8895852233065661,88.9585223306566,2200
2.0,0.9254545454545454,92.54545454545455,0.9207193372703439,92.07193372703439,2200
4.0,0.9268181818181818,92.68181818181817,0.9207568534850236,92.07568534850236,2200
6.0,0.9359090909090909,93.5909090909091,0.9316267054269379,93.16267054269379,2200
8.0,0.9322727272727273,93.22727272727272,0.9267059547416463,92.67059547416463,2200
10.0,0.9322727272727273,93.22727272727272,0.9259664461277943,92.59664461277943,2200
12.0,0.9427272727272727,94.27272727272728,0.9399431143747802,93.99431143747802,2200
14.0,0.9386363636363636,93.86363636363636,0.9344673860359637,93.44673860359637,2200
16.0,0.9331818181818182,93.31818181818183,0.9285142188432617,92.85142188432617,2200
18.0,0.9390909090909091,93.9090909090909,0.9342576043547666,93.42576043547666,2200
