,8PSK,AM-DSB,AM-SSB,BPSK,CPFSK,GFSK,PAM4,QAM16,QAM64,QPSK,WBFM
8PSK,2229,0,61,44,66,9,0,22,2,167,0
AM-DSB,1,2480,7,0,0,3,0,0,0,0,109
AM-SSB,8,1,2553,15,13,3,0,0,0,7,0
BPSK,38,0,53,2434,5,8,27,0,0,34,1
CPFSK,37,1,25,10,2465,37,0,0,0,25,0
GFSK,4,11,14,1,25,2489,0,0,0,1,55
PAM4,2,0,17,18,0,0,2560,0,3,0,0
QAM16,32,0,27,0,2,0,2,2446,83,7,1
QAM64,1,0,28,1,0,0,1,139,2428,2,0
QPSK,183,0,60,40,57,10,2,8,3,2237,0
WBFM,0,1540,2,0,2,49,0,0,0,0,1007
