configuration,accuracy_percent,macro_f1,ece,inference_ms_per_sample
conditional_top1,88.47902097902099,0.879131201727392,0.011531209525215875,0.03588664979018405
soft_all_routes,88.5104895104895,0.8794214888122621,0.010844855367928952,0.05892466916082737
forced_full,88.5,0.8792764963233348,0.01099599960956957,0.030327421573433225
forced_causal,88.45104895104895,0.8788478438648426,0.010601504214264295,0.030414205454540627
forced_local,88.46503496503496,0.8789915769675816,0.011638871421451336,0.03712843083917505
