bin_left,bin_right,mean_confidence,empirical_accuracy,count
0.2,0.26666666666666666,0.25206297636032104,0.25,8
0.26666666666666666,0.3333333333333333,0.30696481466293335,0.3148148148148148,54
0.3333333333333333,0.4,0.36744388937950134,0.2483221476510067,149
0.4,0.4666666666666667,0.43304210901260376,0.3125,208
0.4666666666666667,0.5333333333333333,0.5053512454032898,0.47714808043875684,547
0.5333333333333333,0.6,0.5781887769699097,0.5085470085470085,1872
0.6,0.6666666666666666,0.6295133233070374,0.5917381974248928,1864
0.6666666666666666,0.7333333333333333,0.6969408392906189,0.7054726368159204,1005
0.7333333333333333,0.8,0.7627362012863159,0.7370242214532872,578
0.8,0.8666666666666667,0.8348888158798218,0.772972972972973,555
0.8666666666666667,0.9333333333333333,0.9083123207092285,0.8685586258401793,1339
0.9333333333333333,1.0,0.9828769564628601,0.9871211008275794,20421
