snr_db,sample_count,full_selection,full_probability,causal_selection,causal_probability,local_selection,local_probability
-6.0,2200,0.36772727966308594,0.33139050006866455,0.11954545229673386,0.33195123076438904,0.5127272605895996,0.33665844798088074
-4.0,2200,0.29318180680274963,0.3277830481529236,0.10772727429866791,0.332552433013916,0.5990909337997437,0.33966484665870667
-2.0,2200,0.31590908765792847,0.3289109468460083,0.14136363565921783,0.3329266905784607,0.5427272915840149,0.33816272020339966
0.0,2200,0.39954546093940735,0.33274659514427185,0.1772727221250534,0.3333105444908142,0.42318183183670044,0.33394312858581543
2.0,2200,0.4254545569419861,0.33504167199134827,0.2009090930223465,0.3337904214859009,0.3736363649368286,0.33116811513900757
4.0,2200,0.4318181872367859,0.3359791338443756,0.21181818842887878,0.33393117785453796,0.3563636243343353,0.3300897181034088
6.0,2200,0.42500001192092896,0.3356803357601166,0.229545459151268,0.33413776755332947,0.34545454382896423,0.3301824927330017
8.0,2200,0.4190908968448639,0.33538708090782166,0.22409090399742126,0.33418339490890503,0.35681816935539246,0.3304297626018524
10.0,2200,0.43909090757369995,0.3356420397758484,0.22863636910915375,0.3341747522354126,0.3322727382183075,0.330183744430542
12.0,2200,0.4686363637447357,0.3362998962402344,0.22272726893424988,0.33403465151786804,0.3086363673210144,0.32966554164886475
14.0,2200,0.49318182468414307,0.3367498517036438,0.21318182349205017,0.33403196930885315,0.29363635182380676,0.3292185962200165
16.0,2200,0.5118181705474854,0.33659544587135315,0.19681818783283234,0.33410054445266724,0.2913636267185211,0.3293040096759796
18.0,2200,0.6059091091156006,0.33679965138435364,0.19409090280532837,0.33409664034843445,0.20000000298023224,0.32910436391830444
