snr_db,mean_confidence,accuracy,sample_count
-6.0,0.7401164174079895,0.6077272727272728,2200
-4.0,0.812125563621521,0.7686363636363637,2200
-2.0,0.8612032532691956,0.8340909090909091,2200
0.0,0.9019179940223694,0.8959090909090909,2200
2.0,0.9207464456558228,0.9254545454545454,2200
4.0,0.9233072400093079,0.9268181818181818,2200
6.0,0.9293057322502136,0.9359090909090909,2200
8.0,0.924386203289032,0.9322727272727273,2200
10.0,0.9227136373519897,0.9322727272727273,2200
12.0,0.9310771226882935,0.9427272727272727,2200
14.0,0.9305118918418884,0.9386363636363636,2200
16.0,0.9281018972396851,0.9331818181818182,2200
18.0,0.929520308971405,0.9390909090909091,2200
