class,ece
8PSK,0.005750021738638465
AM-DSB,0.00784610057916001
AM-SSB,0.0023346412473381024
BPSK,0.0025724507533372003
CPFSK,0.003394332809627734
GFSK,0.0020580502946362855
PAM4,0.0017553805299363792
QAM16,0.0035591427490792482
QAM64,0.0027019800069836316
QPSK,0.0038725204688946253
WBFM,0.00739887652112744
