configuration,accuracy_percent,macro_f1,inference_ms_per_sample,parameters,flops
conditional_top1,88.47902097902099,0.879131201727392,0.03588664979018405,1060337,
soft_all_routes,88.5104895104895,0.8794214888122621,0.05892466916082737,1060337,
forced_full,88.5,0.8792764963233348,0.030327421573433225,1060337,
forced_causal,88.45104895104895,0.8788478438648426,0.030414205454540627,1060337,
forced_local,88.46503496503496,0.8789915769675816,0.03712843083917505,1060337,
