snr_db,samples,accuracy_percent,macro_f1,mean_uncertainty,router_prob_full,router_prob_causal,router_prob_local,selected_full,selected_causal,selected_local
-6,2200,60.77272727272728,0.595867131879637,0.33497902750968933,0.33139050006866455,0.33195123076438904,0.33665844798088074,0.36772727966308594,0.11954545229673386,0.5127272605895996
-4,2200,76.86363636363637,0.7583191166698048,0.2557588219642639,0.3277830481529236,0.332552433013916,0.33966484665870667,0.29318180680274963,0.10772727429866791,0.5990909337997437
-2,2200,83.4090909090909,0.8266836037308368,0.2124849408864975,0.3289109468460083,0.3329266905784607,0.33816272020339966,0.31590908765792847,0.14136363565921783,0.5427272915840149
0,2200,89.5909090909091,0.8895852233065661,0.17032839357852936,0.33274659514427185,0.3333105444908142,0.33394312858581543,0.39954546093940735,0.1772727221250534,0.42318183183670044
2,2200,92.54545454545455,0.9207193372703439,0.14358831942081451,0.33504167199134827,0.3337904214859009,0.33116811513900757,0.4254545569419861,0.2009090930223465,0.3736363649368286
4,2200,92.68181818181817,0.9207568534850236,0.1387978047132492,0.3359791338443756,0.33393117785453796,0.3300897181034088,0.4318181872367859,0.21181818842887878,0.3563636243343353
6,2200,93.5909090909091,0.9316267054269379,0.13146759569644928,0.3356803357601166,0.33413776755332947,0.3301824927330017,0.42500001192092896,0.229545459151268,0.34545454382896423
8,2200,93.22727272727272,0.9267059547416463,0.13577473163604736,0.33538708090782166,0.33418339490890503,0.3304297626018524,0.4190908968448639,0.22409090399742126,0.35681816935539246
10,2200,93.22727272727272,0.9259664461277943,0.13390183448791504,0.3356420397758484,0.3341747522354126,0.330183744430542,0.43909090757369995,0.22863636910915375,0.3322727382183075
12,2200,94.27272727272728,0.9399431143747802,0.12933872640132904,0.3362998962402344,0.33403465151786804,0.32966554164886475,0.4686363637447357,0.22272726893424988,0.3086363673210144
14,2200,93.86363636363636,0.9344673860359637,0.12859943509101868,0.3367498517036438,0.33403196930885315,0.3292185962200165,0.49318182468414307,0.21318182349205017,0.29363635182380676
16,2200,93.31818181818183,0.9285142188432617,0.13230636715888977,0.33659544587135315,0.33410054445266724,0.3293040096759796,0.5118181705474854,0.19681818783283234,0.2913636267185211
18,2200,93.9090909090909,0.9342576043547666,0.13101710379123688,0.33679965138435364,0.33409664034843445,0.32910436391830444,0.6059091091156006,0.19409090280532837,0.20000000298023224
