epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,val_ece,val_nll,selection_score,router_temperature,learning_rate,route_full,route_causal,route_local,epoch_seconds
1,2.415017604827881,42.982765197753906,2.3804488090034965,15.447552447552448,0.06543796884788647,0.03185756226519605,2.3804489925279597,13.666801334999688,1.5,8.370702541106129e-05,0.48591647,0.29414237,0.21994114,15.204310417175293
2,1.2354345321655273,70.27863311767578,2.3301272945804197,21.3986013986014,0.11043175140595438,0.08937172533957274,2.330127331880024,19.327516147000207,1.4662765747217041,0.00016704035874439462,0.35993555,0.3262098,0.31385463,13.396131753921509
3,1.026990532875061,77.79801940917969,2.2591583806818183,26.90909090909091,0.1885637856850413,0.13400406104388768,2.259158533998451,25.29854844097356,1.433311329051742,0.00025,0.33465293,0.33071747,0.33462957,13.555893898010254
4,0.9125980138778687,81.69258880615234,2.1626559768356644,36.64685314685315,0.28279003572537326,0.21089891087654586,2.1626555757589614,34.97328323198998,1.401087217381201,0.00024984084688921054,0.3334968,0.33269104,0.33381212,13.730387687683105
5,0.8576756119728088,83.19670104980469,2.0477984320367133,38.3951048951049,0.299376270318173,0.19540579267262997,2.0477980352597527,36.70360932244738,1.3695875773253807,0.00024936379610059496,0.33238742,0.33391723,0.33369535,13.72488784790039
6,0.8248528242111206,84.0059814453125,1.9228865275349651,37.96853146853147,0.2986409102244958,0.1469623582398558,1.9228868626528373,36.347643379315095,1.3387961211080375,0.0002485700722166858,0.3326677,0.33326328,0.33406904,13.744060039520264
7,0.788953959941864,84.91685485839844,1.809520733173077,37.27972027972028,0.29666481874187034,0.08927542432100621,1.80952067682259,35.75707259861363,1.3086969271393314,0.00024746171271530933,0.33253923,0.33391723,0.33354354,12.921962261199951
8,0.7700607776641846,85.43768310546875,1.726643083479021,36.34615384615385,0.296079980435368,0.05783851212242267,1.7266433935891154,34.99852268563044,1.2792744317831188,0.00024604156273940934,0.3332399,0.3343143,0.3324458,12.958094358444214
9,0.7488610744476318,86.03793334960938,1.6632484702797203,36.91958041958042,0.31062895522596945,0.04732138941650624,1.663248551515834,35.74824344018373,1.2505134213093372,0.00024431326779360605,0.33326328,0.33388218,0.33285454,12.903611898422241
10,0.7344985008239746,86.36491394042969,1.6079464871066433,39.23076923076923,0.3378374627441091,0.057935424425697823,1.6079463814550203,38.14136463949757,1.2223990240273162,0.00024228126438623798,0.3323991,0.33175683,0.33584407,13.041213274002075
11,0.7205861806869507,86.77363586425781,1.5632686844405594,41.61888111888112,0.36207221012043805,0.07888165871684369,1.5632684279409181,40.53654909751366,1.1949167025959515,0.0002399507686409086,0.3340924,0.33339173,0.3325159,13.519140481948853
12,0.712418258190155,86.92778015136719,1.531187308784965,42.97902097902097,0.37239551015588024,0.10025572897775191,1.5311871603364873,41.83112698633438,1.1680522465067633,0.00023732776290677198,0.33420917,0.3330881,0.33270273,13.652137041091919
13,0.7017174959182739,87.34819030761719,1.5313326322115384,43.53846153846154,0.37730024597593786,0.13712077231882333,1.531332752095065,42.37677415028799,1.1417917647359523,0.0002344189804019282,0.33194366,0.33417413,0.33388218,13.468896865844727
14,0.6915349960327148,87.52685546875,1.563408271416084,42.7972027972028,0.3680891010837923,0.17812178090892056,1.5634081377661169,41.59954425943809,1.1161216785616546,0.00023123188792934912,0.33258596,0.3336253,0.33378878,13.742526769638062
15,0.6835373044013977,87.78727722167969,1.605768957604895,42.33916083916084,0.36330139613539775,0.2093112653874226,1.6057688655630742,41.13735659403663,1.0910287145426811,0.0002277746667097023,0.3346763,0.330554,0.33476973,13.284829378128052
16,0.6776029467582703,87.93791961669922,1.6402323262674825,42.79370629370629,0.3701381848936794,0.23226488995593744,1.640232574125902,41.637728732838625,1.066499897655111,0.00022405619138027462,0.3335669,0.3336253,0.33280784,13.115392208099365
17,0.6721442937850952,88.1200942993164,1.675405239291958,43.92657342657343,0.3863002446384262,0.24340426161781056,1.6754052924648688,42.86726363402727,1.0425225445831892,0.00022008600721390607,0.33357856,0.33347347,0.33294797,13.219063758850098
18,0.6638820171356201,88.30693817138672,1.6756796328671328,45.807692307692314,0.4127798977820639,0.24371286590147268,1.6756794255599559,44.90175180179513,1.0190842571610625,0.00021587430561641088,0.33245748,0.33357856,0.33396393,13.831328868865967
19,0.6566775441169739,88.50312805175781,1.6202906468531468,48.04545454545455,0.4445098973256034,0.2344711706662303,1.6202907239828677,47.326561582875705,0.9961729159619568,0.00021143189796538514,0.33330998,0.3323991,0.33429092,13.667541980743408
20,0.6520168781280518,88.52765655517578,1.5451559768356644,51.38111888111888,0.4883240389018615,0.2133768643381504,1.545155716078185,50.87137588293234,0.9737766740314866,0.00020677018785755558,0.33438435,0.33425587,0.33135977,13.859709978103638
21,0.6479673385620117,88.6724624633789,1.4488897235576923,55.04195804195804,0.531801434127229,0.1921779192494346,1.448889646774064,54.66959511611101,0.9518839507618543,0.00020190114183591022,0.3329363,0.33307642,0.3339873,13.633366584777832
22,0.6411766409873962,88.91185760498047,1.3305815668706293,58.95104895104895,0.5745579260133954,0.1688736784640517,1.330581337865037,58.651997681107076,0.93048342590377,0.00019683725867175426,0.33396393,0.33306473,0.3329713,13.89629054069519
23,0.6366138458251953,88.97374725341797,1.2291503223339162,62.63636363636363,0.6104954347830892,0.1482701359199477,1.2291503245621198,62.31899960475269,0.9095640337129975,0.00019159153728054334,0.33441937,0.33229402,0.3332866,13.582524061203003
24,0.6314453482627869,89.17110443115234,1.121401333041958,66.22377622377623,0.6420020108743123,0.1298956324107997,1.1214013592333243,65.81906119650723,0.8891149572285004,0.00018617744335385408,0.3341975,0.33273777,0.33306473,14.060074806213379
